date,transactions,revenue,black Friday
4/10/2022,377,131750.54,0
4/11/2022,338,115256.98,0
4/12/2022,335,112172.55,0
4/13/2022,331,116523.24,0
4/14/2022,277,94063.73,0
4/15/2022,263,90991.7,0
4/16/2022,242,80306.15,0
4/17/2022,263,90939.36,0
4/18/2022,358,122255.59,0
4/19/2022,349,118996.34,0
4/20/2022,306,105328.21,0
4/21/2022,318,107518.96,0
4/22/2022,225,76791.01,0
4/23/2022,261,91414.81,0
4/24/2022,279,96263.39,0
4/25/2022,279,95597.03,0
4/26/2022,265,93803.65,0
4/27/2022,268,93907.66,0
4/28/2022,468,154008.26,0
4/29/2022,303,98242.31,0
4/30/2022,294,92674.77,0
5/1/2022,383,127071.11,0
5/2/2022,324,107431.84,0
5/3/2022,377,128552.1,0
5/4/2022,377,123092.031,0
5/5/2022,316,108815.5,0
5/6/2022,242,85624.96,0
5/7/2022,243,83140.38,0
5/8/2022,335,112932.94,0
5/9/2022,359,125336.97,0
5/10/2022,234,86218.51,0
5/11/2022,253,89642.5,0
5/12/2022,221,77517.22,0
5/13/2022,223,75567.69,0
5/14/2022,208,69342.55,0
5/15/2022,255,86122.43,0
5/16/2022,314,103883.87,0
5/17/2022,303,101773.34,0
5/18/2022,294,96836.72,0
